"","participant","block_num","time_since_start","time_to_end","block_duration"
"112",97,5,0,292.1487056,292.1487056
"113",97,5,184.6930838,107.4556218,292.1487056
"114",97,5,239.0792773,53.0694283000003,292.1487056
"115",97,6,0,287.3317521,287.3317521
"116",97,6,96.9052127,190.4265394,287.3317521
"117",97,6,158.7584013,128.5733508,287.3317521
"118",97,6,205.7275374,81.6042147000003,287.3317521
"119",97,6,263.0805276,24.2512245000003,287.3317521
"120",97,7,0,282.3980326,282.3980326
"121",97,7,134.8903756,147.507657,282.3980326
"122",97,7,182.1761728,100.2218598,282.3980326
"123",97,7,228.1618992,54.2361334000002,282.3980326
"124",98,1,0,242.929093,242.929093
"125",98,1,183.3427341,59.5863588999999,242.929093
"126",98,2,0,286.2980464,286.2980464
"127",98,2,227.2784325,59.0196139,286.2980464
"128",98,4,0,232.4118406,232.4118406
