"","participant","subject_id","block_num","known_t_to_target","cc_time","time_since_start","time_to_end","time_since_last_cc","block_duration","cens","accessed_pm","pm_acc","pm_count","r_check","r_to_target"
"98",2,2,7,150.998141,149.001859,160.9851094,130.4334759,11.9832504000001,291.4185853,0,1,8.51795270000002,8,0.0411204055076444,0.518148630927418
"99",2,2,7,139.0148906,160.9851094,173.4513142,117.9672711,12.4662048,291.4185853,0,1,8.51795270000002,8,0.0427776587658838,0.477028225419773
"100",2,2,7,126.5486858,173.4513142,184.9035637,106.5150216,11.4522495000001,291.4185853,0,1,8.51795270000002,8,0.0392982811587346,0.434250566653889
"101",2,2,7,115.0964363,184.9035637,211.4175495,80.0010358,26.5139858000002,291.4185853,0,1,8.51795270000002,8,0.0909824806564943,0.394952285495155
"102",2,2,7,88.5824504999996,211.4175495,232.9323658,58.4862195000001,21.5148162999999,291.4185853,0,1,8.51795270000002,8,0.0738278798445593,0.30396980483866
"103",2,2,7,67.0676341999997,232.9323658,245.0326476,46.3859377000003,12.1002817999997,291.4185853,0,1,8.51795270000002,8,0.0415219976019824,0.230141924994101
"104",2,2,7,54.9673524,245.0326476,262.4862786,28.9323067,17.4536310000003,291.4185853,0,1,8.51795270000002,8,0.059891962559741,0.188619927392119
"105",2,2,7,37.5137213999997,262.4862786,274.5318568,16.8867285000001,12.0455781999999,291.4185853,0,1,8.51795270000002,8,0.0413342827383491,0.128727964832378
"106",2,2,7,25.4681431999998,274.5318568,277.6145674,13.8040179,3.08271060000015,291.4185853,0,1,8.51795270000002,8,0.0105782910064801,0.0873936820940285
"107",2,2,7,22.3854325999996,277.6145674,291.4185853,0,13.8040179,291.4185853,1,1,8.51795270000002,8,0.0473683512181951,0.0768153910875484
"108",3,3,0,300,0,156.801171200001,166.0134865,156.801171200001,322.814657700001,0,1,22.8271653999981,8,0.485731262381896,0.929325830919353
"109",3,3,0,143.198828799999,156.801171200001,297.832144200002,24.9825134999991,141.030973000001,322.814657700001,0,1,22.8271653999981,8,0.436879087228636,0.443594568537457
